TS,PWR1_POWER,PF1_POWER FACTOR,JAVG_CURRENT AVG,JPH1_CURRENT PH A,JPH2_CURRENT PH B,JPH3_CURRENT PH C,TIPH1_WINDING TEMP A,TIPH2_WINDING TEMP B,TIPH3_WINDING TEMP C,TTIB_MOTOR IB BRG TEMP,TTOB_MOTOR OB BRG TEMP,VTIBX_MOTOR IB BRG VIB X,VTIBY_MOTOR IB BRG VIB Y,VTOBX_MOTOR OB BRG VIB X,VTOBY_MOTOR OB BRG VIB Y
12-01-2018 00:00,0,0,0,0,0,0,76.17407227,76.40065765,75.94750214,72.55001068,78.81419373,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 00:30,0,1,0,0,0,0,75.94750214,76.28833008,75.72093964,72.32358551,78.66695404,0.003814755,NaN,0.003814755,0.00192368
12-01-2018 01:00,0,1,0,0,0,0,75.80420685,76.17407227,75.72093964,72.32358551,78.44028473,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 01:30,0,1,0,0,0,0,75.72093964,75.94750214,75.4943924,72.32358551,78.44028473,0.002934427,NaN,0.003814755,0.000880328
12-01-2018 02:00,0,1,0,0,0,0,75.4943924,75.94750214,75.29108429,72.32358551,78.44028473,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 02:30,0,0.025641026,0,0,0,0,75.4943924,75.72093964,75.26784515,72.09716797,78.21362305,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 03:00,0,1,0,0,0,0,75.26784515,75.4943924,75.04130554,72.09716797,78.21362305,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 03:30,0,0.282051295,0,0,0,0,75.20394897,75.4943924,74.97741699,72.09716797,78.21362305,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 04:00,0,1,0,0,0,0,75.04130554,75.26784515,74.81478119,72.00621796,78.12257385,0,NaN,0.003814755,0.002282332
12-01-2018 04:30,0,0.534482777,0,0,0,0,74.81478119,75.26784515,74.81478119,71.87075806,77.98696899,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 05:00,0,1,0,0,0,0,74.81478119,75.04130554,74.58826447,71.87075806,77.76032257,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 05:30,0,1,0,0,0,0,74.58826447,75.04130554,74.58826447,71.87075806,77.76032257,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 06:00,0,1,0,0,0,0,74.58826447,74.81478119,74.36175537,71.66564178,77.76032257,0.003814755,NaN,0.000358652,0.003814755
12-01-2018 06:30,0,1,0,0,0,0,74.36175537,74.58826447,74.36175537,71.64435577,77.75257111,0.000130419,NaN,0.003814755,0.003814755
12-01-2018 07:00,0,1,0,0,0,0,74.36175537,74.58826447,74.13525391,71.64435577,77.53369141,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 07:30,0,0.290598303,0,0,0,0,74.13525391,74.36175537,74.13525391,71.64435577,77.46783447,0,NaN,0.003814755,0.002706194
12-01-2018 08:00,0,0.577586234,0,0,0,0,74.13525391,74.36175537,73.9087677,71.64435577,77.30706787,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 08:30,0,0.550847471,0,0,0,0,73.9087677,74.13525391,73.9087677,71.41796112,77.30706787,0.002101348,NaN,0.003814755,0.003814755
12-01-2018 09:00,0,0.658119678,0,0,0,0,73.9087677,74.13525391,73.68228149,71.41796112,77.30706787,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 09:30,0,0.213675216,0,0,0,0,73.68228149,73.9087677,73.5042038,71.41796112,77.08045197,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 10:00,0,1,0,0,0,0,73.47516632,73.9087677,73.45581055,71.19158173,77.08045197,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 10:30,0,1,0,0,0,0,73.45581055,73.68228149,73.44226074,71.19158173,77.08045197,0,NaN,0.003814755,0.003814755
