TS,DEMO.SIM.06G31_1FD Fan Damper Position,DEMO.SIM.06I03_1FD Fan Motor Current,DEMO.SIM.06GP34_1FD Fan Outlet Pressure,DEMO.SIM.06T31_1FD Fan Inlet Temperature,DEMO.SIM.06T32-1_1FD Fan Bearing Temperature,DEMO.SIM.06T33-1_1FD Fan Winding Temperature,DEMO.SIM.06T34_1FD Fan Outlet Termperature,DEMO.SIM.FSAA_1FD Fan Left Inlet Flow,DEMO.SIM.FSAB_1FD Fan Right Inlet Flow
10/14/2012 12:30,35.37,36.07,0.66,27.08,60.45,42.44,28.65,299.95,314.39
10/14/2012 13:00,35.91,36.14,0.72,26.53,60.31,42.55,28.04,318.02,331.61
10/14/2012 13:30,34.75,35.67,0.66,26.02,61.13,41.71,27.91,299.71,314.05
10/14/2012 14:00,31.41,34.71,0.6,25.92,60.72,41.45,27.75,265.22,278.29
10/14/2012 14:30,33.03,35.14,0.49,25.97,59.96,41.19,27.26,279.65,292.55
10/14/2012 15:00,33.02,35.66,0.4,25.2,60.03,40.97,26.89,282.29,298.35
10/14/2012 15:30,34.03,35.84,0.41,24.88,59.76,40.56,26.84,295.43,311.11
10/14/2012 16:00,26.85,34.09,0.27,24.73,60.47,40.14,26.54,232.7,245.91
10/14/2012 16:30,26.16,34.6,0.53,24.89,59.95,40.13,26.31,233.32,248.54
10/14/2012 17:00,23.7,32.79,0.29,24.63,60.59,39.97,26.21,196.42,203.51
10/14/2012 17:30,26.79,33.99,0.35,24.41,59.32,39.91,25.75,235.03,245.23
10/14/2012 18:00,27.92,33.92,0.38,24.08,60.2,39.77,25.59,238.23,251.56
10/14/2012 18:30,26.45,33.68,0.37,24.19,59.6,39.67,25.54,232.48,245.42
10/14/2012 19:00,30.91,34.69,0.48,23.63,59.85,39.93,25.59,258.31,272.41
10/14/2012 19:30,28.42,34.35,0.43,23.99,59.69,39.89,25.78,249.41,260.21
10/14/2012 20:00,32.12,35.34,0.59,24.11,59.55,39.82,25.38,274.69,287.13
10/14/2012 20:30,36.89,36.77,0.62,24.02,59.28,39.9,26.01,313.58,329.37
10/14/2012 21:00,32.64,35.89,0.7,24.31,59.07,40.04,25.87,284.38,289.4
10/14/2012 21:30,35.18,36.24,0.53,24.2,59.67,40.01,25.75,290.34,297.49
10/14/2012 22:00,28.06,34.8,0.51,23.98,59.67,40.46,25.9,247.64,256.46
10/14/2012 22:30,33.25,35.77,0.64,24.66,59.35,40.39,25.89,281.15,289.44
10/14/2012 23:00,38.16,37.65,0.9,25.07,59.19,40.67,26.3,325.7,335.43
10/14/2012 23:30,38.21,37.23,0.9,24.97,59.41,41.18,26.83,332.25,342.02
10/15/2012 0:00,44.56,40.46,1.13,25.46,59.55,41.41,27.24,374.32,386.11
10/15/2012 0:30,44.43,40.21,1.1,26.05,60.08,41.92,27.83,376.45,388.38
10/15/2012 1:00,42.72,39.54,0.92,25.43,60.29,41.85,27.85,364.5,375.94
10/15/2012 1:30,46.17,41.43,1.0,26.75,60.15,42.24,28.34,377.09,389.81
10/15/2012 2:00,45.99,41.21,1.2,27.66,60.92,43.04,29.51,381.35,396.12
10/15/2012 2:30,38.08,36.88,0.82,27.42,61.24,43.34,29.51,322.24,332.11
10/15/2012 3:00,39.87,37.6,0.9,27.94,61.52,43.29,29.77,332.39,343.35
10/15/2012 3:30,40.71,38.25,0.81,27.85,61.16,43.97,30.12,341.64,352.23
10/15/2012 4:00,38.68,36.97,0.75,27.65,61.41,44.03,29.95,324.35,334.14
10/15/2012 4:30,39.97,38.71,0.87,27.66,61.69,44.23,29.29,352.27,365.63
10/15/2012 5:00,43.21,39.67,1.03,28.53,61.5,44.44,30.32,358.81,367.74
10/15/2012 5:30,45.68,41.37,1.06,28.35,61.1,44.25,30.43,380.18,394.27
10/15/2012 6:00,46.0,41.06,1.12,28.75,62.29,44.37,30.64,385.53,396.57
10/15/2012 6:30,45.98,41.54,1.29,28.47,61.55,44.27,30.54,384.88,397.92
10/15/2012 7:00,46.86,41.97,1.32,28.44,61.65,44.45,30.31,393.4,405.31
10/15/2012 7:30,44.07,40.47,0.94,28.35,61.32,44.31,30.34,380.34,392.46
10/15/2012 8:00,45.27,40.44,1.01,27.92,61.22,43.5,30.0,374.72,386.45
10/15/2012 8:30,42.5,39.31,1.22,27.76,61.55,44.04,29.65,356.4,369.02
10/15/2012 9:00,40.97,38.75,1.13,27.9,61.8,43.65,29.3,348.98,361.69
10/15/2012 9:30,45.06,40.65,1.07,27.16,62.07,43.79,29.61,376.88,389.77
10/15/2012 10:00,38.63,36.99,0.6,26.85,61.0,43.47,28.64,316.52,331.12
10/15/2012 10:30,42.09,39.23,0.86,26.81,61.41,42.95,28.6,353.56,369.94
10/15/2012 11:00,42.42,39.12,0.96,26.25,61.53,42.8,28.29,358.91,375.47
