TS,DEMO.SIM.06G31_1FD Fan Damper Position,DEMO.SIM.06I03_1FD Fan Motor Current,DEMO.SIM.06GP34_1FD Fan Outlet Pressure,DEMO.SIM.06T31_1FD Fan Inlet Temperature,DEMO.SIM.06T32-1_1FD Fan Bearing Temperature,DEMO.SIM.06T33-1_1FD Fan Winding Temperature,DEMO.SIM.06T34_1FD Fan Outlet Termperature,DEMO.SIM.FSAA_1FD Fan Left Inlet Flow,DEMO.SIM.FSAB_1FD Fan Right Inlet Flow
04-04-2013 14:00,27.88,35.1,0.47,28.68,55.74,36.56,27.58,228.11,231.52
04-04-2013 14:30,26.64,34.51,0.48,29.57,55.93,36.65,27.9,227.9,232.96
04-04-2013 15:00,28.83,34.86,0.49,29.29,56.39,37.04,28.1,247.8,255.17
04-04-2013 15:30,24.2,34.4,0.5,29.48,56.11,37.28,28.29,215.0,216.5
04-04-2013 16:00,27.92,35.58,0.48,29.01,55.62,37.61,28.06,253.23,262.49
04-04-2013 16:30,30.17,35.98,0.52,29.51,55.79,37.9,28.03,254.36,257.35
04-04-2013 17:00,31.32,36.24,0.65,29.58,56.21,38.08,28.25,266.14,269.35
04-04-2013 17:30,33.26,36.34,0.73,29.84,56.49,38.12,28.22,267.12,270.25
04-04-2013 18:00,46.96,44.67,1.21,30.09,55.46,38.8,29.57,380.95,388.73
04-04-2013 18:30,40.31,40.03,1.04,30.91,56.14,38.91,29.48,330.03,336.21
04-04-2013 19:00,39.86,39.45,0.96,30.46,56.12,38.97,29.8,321.4,327.44
04-04-2013 19:30,41.05,40.34,1.04,30.86,56.17,39.27,30.17,333.52,341.65
04-04-2013 20:00,41.6,41.41,1.0,31.36,57.38,40.46,30.76,344.69,352.94
04-04-2013 20:30,38.91,39.28,0.95,31.69,56.3,40.44,30.99,314.81,321.8
04-04-2013 21:00,41.36,40.23,0.86,31.86,56.86,40.56,31.25,326.22,332.35
04-04-2013 21:30,35.79,37.83,0.78,32.44,57.05,40.76,30.85,306.34,313.5
04-04-2013 22:00,34.47,37.1,0.87,32.2,56.25,40.36,30.58,290.94,298.89
04-04-2013 22:30,40.14,39.99,0.84,31.93,56.61,40.81,31.03,325.69,334.92
04-04-2013 23:00,35.99,37.15,0.75,31.43,56.25,41.07,30.34,293.26,301.3
04-04-2013 23:30,37.62,38.74,0.83,31.23,56.5,41.52,29.88,307.89,313.96
04-05-2013 00:00,38.95,39.27,0.92,31.03,57.22,41.3,30.47,316.8,322.77
04-05-2013 00:30,32.31,36.6,0.58,30.86,56.67,40.95,29.63,283.97,289.68
04-05-2013 01:00,36.69,37.72,0.72,30.46,56.51,40.8,29.26,298.32,308.41
04-05-2013 01:30,45.35,43.05,0.9,29.2,57.01,41.41,28.98,366.88,377.34
04-05-2013 02:00,46.18,44.29,0.98,29.74,56.3,41.29,29.29,376.82,388.9
04-05-2013 02:30,39.03,39.46,0.95,29.41,56.28,41.03,28.48,325.06,339.39
04-05-2013 03:00,38.89,39.79,0.99,29.08,56.94,40.75,28.22,332.4,347.09
04-05-2013 03:30,41.2,40.76,1.14,28.35,56.13,40.97,27.52,344.5,359.12
04-05-2013 04:00,42.36,41.33,1.03,28.67,56.28,40.61,28.07,345.43,360.54
04-05-2013 04:30,50.28,47.84,1.08,28.91,56.42,40.76,28.67,406.78,427.1
04-05-2013 05:00,47.25,46.16,1.14,29.41,55.98,40.77,28.58,395.94,416.17
04-05-2013 05:30,49.94,47.77,1.18,29.49,55.78,40.93,28.83,395.09,404.16
04-05-2013 06:00,55.51,54.54,1.49,29.18,57.57,41.17,29.1,444.52,454.58
04-05-2013 06:30,53.1,50.6,1.51,28.88,56.1,41.7,28.7,422.98,427.93
04-05-2013 07:00,53.82,52.14,1.38,28.61,56.39,41.79,28.57,434.59,443.48
04-05-2013 07:30,43.83,41.32,1.01,29.02,56.39,40.87,27.43,356.35,362.57
04-05-2013 08:00,44.68,42.67,1.03,29.14,56.23,40.28,27.39,357.49,363.94
04-05-2013 08:30,44.35,43.25,1.04,28.28,56.0,40.5,27.61,378.58,385.28
04-05-2013 09:00,41.58,41.46,1.25,28.54,55.23,40.29,27.66,358.78,364.32
04-05-2013 09:30,47.41,45.53,1.31,28.23,55.7,40.14,27.36,379.02,386.54
04-05-2013 10:00,41.4,40.61,0.86,27.65,55.88,39.78,26.42,341.15,347.19
04-05-2013 10:30,39.46,39.93,0.98,27.68,55.72,39.31,26.66,329.95,337.07
04-05-2013 11:00,37.2,38.48,0.93,27.65,55.67,38.68,25.84,311.76,317.24
04-05-2013 11:30,40.98,40.0,0.88,27.89,56.25,38.5,26.2,342.9,360.68
04-05-2013 12:00,40.05,40.02,0.85,27.23,55.56,38.24,25.48,338.68,353.85
04-05-2013 12:30,37.88,38.09,0.89,26.96,55.26,38.08,25.2,316.69,327.19
04-05-2013 13:00,40.72,40.37,0.99,26.42,55.56,37.8,24.72,339.64,354.0
04-05-2013 13:30,38.63,39.62,1.0,26.13,55.69,37.5,24.9,330.24,347.46
04-05-2013 14:00,41.6,41.63,1.0,25.85,55.46,37.53,24.6,349.0,366.18
04-05-2013 14:30,41.91,41.15,1.14,25.83,55.37,37.35,24.66,347.13,364.73
04-05-2013 15:00,42.14,41.56,0.89,25.83,55.27,37.37,24.52,355.47,373.6
04-05-2013 15:30,40.97,40.58,0.87,25.9,55.11,37.45,24.77,354.75,370.7
04-05-2013 16:00,42.42,41.13,0.84,25.96,54.91,37.1,24.81,348.94,364.13
04-05-2013 16:30,47.38,44.97,1.01,26.78,54.87,37.78,26.03,388.59,403.54
04-05-2013 17:00,43.13,41.33,0.95,27.39,56.0,38.14,26.2,348.31,363.33
04-05-2013 17:30,49.36,46.21,1.11,28.12,55.6,38.79,27.25,389.38,408.48
04-05-2013 18:00,51.07,47.41,1.45,28.28,55.32,39.37,28.08,393.57,412.09
04-05-2013 18:30,43.89,42.48,1.11,28.76,56.21,39.82,28.03,358.0,373.91
04-05-2013 19:00,43.5,41.32,0.83,29.7,56.17,39.34,28.67,348.22,367.92
04-05-2013 19:30,39.22,39.1,0.94,30.5,56.25,39.24,29.1,316.28,328.17
04-05-2013 20:00,45.86,43.3,1.17,30.61,56.37,39.63,29.74,369.41,384.77
04-05-2013 20:30,49.77,47.66,1.29,30.17,56.78,40.2,30.44,404.55,419.29
04-05-2013 21:00,42.53,40.32,0.87,30.59,56.88,39.89,30.38,327.83,340.24
04-05-2013 21:30,40.27,40.58,1.02,31.43,56.49,40.16,30.84,338.75,354.71
04-05-2013 22:00,49.37,46.17,1.19,32.16,56.84,40.49,32.14,385.34,404.35
04-05-2013 22:30,50.24,46.98,1.1,32.84,56.83,41.45,32.67,390.22,405.07
04-05-2013 23:00,39.16,39.12,0.84,33.17,56.85,41.89,32.63,318.68,330.82
04-05-2013 23:30,45.56,42.76,1.16,33.67,57.52,42.37,33.52,363.53,374.68
04-06-2013 00:00,43.36,41.54,0.95,34.15,57.33,42.71,33.97,347.83,356.3
04-06-2013 00:30,49.36,46.78,1.09,34.3,57.19,43.32,34.71,398.68,408.65
04-06-2013 01:00,39.11,39.68,1.02,34.94,58.34,43.37,34.96,331.61,341.09
04-06-2013 01:30,40.05,39.99,0.98,34.83,57.71,43.54,35.35,327.36,336.57
04-06-2013 02:00,54.92,51.67,1.37,35.2,57.92,44.13,35.88,424.98,435.74
04-06-2013 02:30,57.23,55.94,1.77,35.17,57.99,45.82,36.29,446.4,458.0
04-06-2013 03:00,58.55,56.02,1.69,34.66,58.31,46.51,36.29,448.17,464.94
04-06-2013 03:30,58.02,56.15,1.62,34.85,58.33,47.41,36.11,447.94,463.79
04-06-2013 04:00,55.31,51.93,1.56,34.93,58.51,47.1,35.96,426.89,444.29
04-06-2013 04:30,59.6,57.82,1.49,34.47,58.35,47.61,35.81,459.06,478.18
04-06-2013 05:00,53.78,49.96,1.33,34.39,58.55,46.04,34.99,414.29,432.96
04-06-2013 05:30,55.43,53.59,1.58,34.3,58.06,46.98,35.4,440.63,459.25
04-06-2013 06:00,53.44,49.94,1.59,34.25,58.01,46.68,34.7,418.64,438.8
04-06-2013 06:30,48.23,45.8,1.48,34.14,58.34,46.65,34.51,390.16,401.21
04-06-2013 07:00,40.5,40.54,1.16,34.24,58.05,45.52,33.71,345.01,356.32
04-06-2013 07:30,43.42,41.48,0.92,33.72,57.96,45.05,33.72,348.76,361.15
04-06-2013 08:00,38.05,38.92,0.74,34.0,57.19,43.34,33.33,318.11,329.23
04-06-2013 08:30,36.38,37.41,0.47,32.76,58.1,41.37,31.84,293.18,303.05
04-06-2013 09:00,33.04,36.69,0.6,32.63,57.44,40.22,31.32,281.37,287.49
04-06-2013 09:30,27.72,35.17,0.59,32.42,55.97,39.13,30.35,240.04,243.36
04-06-2013 10:00,30.45,35.32,0.61,31.51,56.11,38.02,29.57,251.92,255.55
04-06-2013 10:30,31.42,35.95,0.63,30.85,55.86,37.33,29.03,258.03,264.75
04-06-2013 11:00,30.67,35.52,0.65,30.16,56.19,36.61,28.84,254.49,257.33
04-06-2013 11:30,32.05,36.31,0.67,29.76,55.92,36.32,28.64,265.31,270.17
04-06-2013 12:00,32.39,36.24,0.69,29.72,56.3,36.11,28.08,269.35,271.88
04-06-2013 12:30,32.6,36.04,0.71,29.31,56.09,35.86,27.66,272.31,276.97
04-06-2013 13:00,31.36,36.1,0.73,28.45,56.48,35.59,26.92,262.81,266.36
04-06-2013 13:30,33.15,36.43,0.75,28.29,55.71,35.62,27.07,271.1,276.35
04-06-2013 14:00,33.86,36.97,0.78,28.24,56.42,35.45,27.06,276.77,282.98
04-06-2013 14:30,34.16,37.37,0.8,27.83,55.36,35.27,26.92,286.23,290.73
04-06-2013 15:00,41.52,40.77,1.04,27.69,56.23,35.36,26.7,340.25,346.73
04-06-2013 15:30,43.31,42.06,1.06,27.17,56.42,35.52,27.09,352.68,361.26
04-06-2013 16:00,40.72,40.12,0.84,27.54,55.78,35.88,26.49,326.11,335.41
04-06-2013 16:30,46.08,43.7,1.21,27.14,55.45,36.87,27.03,363.68,373.74
04-06-2013 17:00,43.73,41.66,1.21,27.67,55.8,38.32,27.21,351.41,362.57
04-06-2013 17:30,44.37,42.38,1.14,28.33,55.79,39.09,28.05,356.13,369.69
04-06-2013 18:00,47.59,44.86,1.47,28.91,56.15,40.41,29.17,377.74,393.34
04-06-2013 18:30,57.95,56.49,1.66,29.66,56.26,42.04,30.82,445.93,464.34
04-06-2013 19:00,56.47,54.8,1.42,30.61,57.29,43.56,31.77,435.45,455.46
04-06-2013 19:30,48.8,46.03,1.24,31.58,57.26,43.26,31.64,379.18,393.31
04-06-2013 20:00,54.92,51.72,1.36,32.2,56.8,43.68,33.02,416.95,432.98
04-06-2013 20:30,53.92,51.34,1.37,32.97,57.18,43.76,34.0,417.01,429.87
04-06-2013 21:00,50.71,47.44,1.59,33.41,57.22,44.33,34.2,399.38,412.64
04-06-2013 21:30,52.76,49.99,1.24,34.2,57.81,44.79,34.68,411.97,426.6
04-06-2013 22:00,49.4,46.68,1.63,34.41,57.48,45.56,34.77,390.02,409.44
04-06-2013 22:30,55.42,51.97,1.43,34.25,57.89,45.91,34.93,423.91,441.61
04-06-2013 23:00,55.34,51.77,1.41,34.42,57.86,46.01,34.95,420.79,435.69
04-06-2013 23:30,50.77,48.52,1.62,32.99,57.75,46.31,33.88,408.56,422.38
04-07-2013 00:00,50.78,48.16,1.19,33.74,58.72,46.64,34.23,400.38,415.34
04-07-2013 00:30,46.95,43.68,1.07,33.3,58.03,46.4,33.62,374.11,386.26
04-07-2013 01:00,45.35,42.84,1.03,33.64,57.74,46.13,33.58,363.24,375.52
04-07-2013 01:30,42.03,41.11,1.11,33.65,57.75,45.9,33.55,350.44,361.03
04-07-2013 02:00,48.13,45.01,1.03,34.4,57.19,45.65,34.16,383.63,395.62
04-07-2013 02:30,48.59,45.28,1.13,34.7,58.45,45.72,34.33,385.79,397.47
04-07-2013 03:00,45.2,42.46,1.26,34.07,58.38,45.87,33.64,364.04,374.62
04-07-2013 03:30,44.66,42.13,0.9,33.64,58.24,45.55,33.5,356.91,367.62
04-07-2013 04:00,47.76,44.62,1.03,34.43,58.0,45.17,33.79,376.14,391.24
04-07-2013 04:30,53.97,50.49,1.42,34.22,58.1,45.82,34.55,421.01,431.23
04-07-2013 05:00,45.18,42.26,1.25,34.19,58.4,45.99,33.6,359.3,370.48
04-07-2013 05:30,42.13,41.42,0.91,34.12,58.13,45.23,33.36,345.31,352.25
04-07-2013 06:00,40.31,40.03,1.03,33.68,57.78,44.54,32.64,325.02,331.78
04-07-2013 06:30,39.16,39.73,1.03,32.95,57.4,44.14,31.85,325.07,328.39
04-07-2013 07:00,38.85,38.53,1.02,32.79,57.46,43.7,31.99,315.81,320.59
04-07-2013 07:30,36.39,37.95,0.51,33.75,57.77,43.39,32.2,301.13,309.59
