timestamp,Current (A) Avg Current A,Current (A) Max Current A,Current (A) Min Current A,Torque (N·m) Avg Torque Nm,Torque (N·m) Max Torque Nm,Torque (N·m) Min Torque Nm,Speed (RPM) Avg Speed RPM,Speed (RPM) Max Speed RPM,Speed (RPM) Min Speed RPM
2025-11-05 08:49:28.693,554.14,678.0,489.0,45.81,59.2,40.03,1014.71,1038.3,952.65
2025-11-05 08:50:48.390,547.71,651.0,493.0,44.47,52.35,39.79,1008.67,1038.97,949.35
2025-11-05 08:51:57.967,560.86,653.0,497.0,45.18,56.19,40.56,1012.47,1036.5,953.78
2025-11-05 08:53:08.590,472.43,729.0,8.0,37.58,52.76,0.58,1017.05,1061.55,953.55
2025-11-05 08:54:25.307,526.17,604.0,479.0,42.81,49.12,40.72,1013.26,1036.43,954.6
2025-11-05 08:55:35.950,536.33,606.0,507.0,43.52,49.86,41.84,1014.1,1035.07,973.35
2025-11-05 08:56:45.537,537.0,592.0,516.0,43.47,47.34,42.29,1010.2,1033.13,957.38
2025-11-05 08:57:55.130,530.5,583.0,490.0,42.36,46.88,39.99,1015.4,1034.47,964.95
2025-11-05 08:59:03.767,526.17,568.0,507.0,42.57,46.11,40.23,1016.1,1034.47,961.35
2025-11-05 09:00:13.330,504.0,532.0,486.0,41.84,44.96,40.11,1013.09,1034.78,957.15
2025-11-05 09:01:23.893,505.17,543.0,485.0,41.59,44.9,39.94,1010.12,1026.45,957.9
2025-11-05 09:02:34.487,513.5,574.0,487.0,42.05,47.16,39.56,1006.96,1028.4,947.4
2025-11-05 09:03:48.067,526.14,625.0,484.0,43.55,53.16,40.17,995.95,1027.8,933.75
2025-11-05 09:04:58.663,525.57,625.0,463.0,42.33,50.83,36.68,1009.44,1034.63,953.85
2025-11-05 09:06:10.263,518.5,556.0,506.0,41.91,46.93,39.51,1016.16,1032.6,953.25
2025-11-05 09:07:20.863,498.67,544.0,462.0,41.8,45.15,39.47,1014.26,1030.88,954.9
2025-11-05 09:08:31.487,505.17,567.0,458.0,41.68,44.39,39.33,1010.19,1027.43,949.28
