Point Name,DWATT,B1VIB1,B1VIB2,B1RADVIBX,B1RADVIBY,B2VIB1,B2VIB2,B2RADVIBX,B2RADVIBY,TURBAXDISP1,TURBAXDISP2,B1TEMP1,B2TEMP1,ACTTBTEMP1,INACTTBTEMP1,LOTEMP1
Description,GROSS LOAD,TURB BRG 1 VIB 1,TURB BRG 1 VIB 2,TURB BRG 1 RAD VIB X,TURB BRG 1 RAD VIB Y,TURB BRG 2 VIB 1,TURB BRG 2 VIB 2,TURB BRG 2 RAD VIB X,TURB BRG 2 RAD VIB Y,TURB AXIAL POS 1,TURB AXIAL POS 2,TURB BRG 1 TEMP 1,TURB BRG 2 TEMP 1,THRUST BRG ACT TEMP 1,THRUST BRG INACT TEMP 1,LO SUPPLY TEMP 1
Extended Name,,,,,,,,,,,,,,,,
Extended Description,,,,,,,,,,,,,,,,
Units,MW,IN/S,IN/S,MILS,MILS,IN/S,IN/S,MILS,MILS,MILS,MILS,DEGF,DEGF,DEGF,DEGF,DEGF
6/1/2019 0:00,0.046386719,0.003474951,0.003582239,0.088310242,0.073814392,0.00166893,0.001722574,0.102710724,0.080680847,-25.04386902,-24.21293259,107.1278076,105.7943878,92.0009079,91.25463104,90.21835327
6/1/2019 1:00,0.048736572,0.003510714,0.003516674,0.089359283,0.078964233,0.001817942,0.002282858,0.092029572,0.074386597,-24.87425804,-24.25031662,106.3360443,105.2120895,91.05165863,90.55632782,89.82320404
6/1/2019 2:00,0.058380127,0.003516674,0.003367662,0.064277649,0.08058548,0.001698732,0.001859665,0.089359283,0.07276535,-25.0313282,-24.40655136,106.9420853,105.7417221,91.59140778,91.01054382,90.23699188
6/1/2019 3:00,0.056243896,0.003319979,0.003421307,0.096035004,0.103378296,0.001847744,0.001585484,0.132274628,0.107097626,-25.1013031,-24.28705597,107.2079697,105.9771423,91.86037445,91.19867706,90.54840851
6/1/2019 4:00,0.046020508,0.003510714,0.003546476,0.154399872,0.11920929,0.00193119,0.001746416,0.091648102,0.066566467,-25.15506744,-24.24445152,106.2179718,104.9336929,91.00600433,90.23743439,89.46764374
6/1/2019 5:00,0.05670166,0.003254414,0.003486872,0.121307373,0.084114075,0.001633167,0.001603365,0.071239471,0.0623703,-24.99311066,-24.29895401,106.4588928,105.246109,91.17596436,90.43028259,89.79922485
6/1/2019 6:00,0.050323486,0.003314018,0.00346899,0.225830078,0.125312805,0.002282858,0.002169609,0.082397461,0.074291229,-24.93550873,-24.15904999,106.0333786,104.8626633,90.6711731,90.11882782,89.03430939
6/1/2019 7:00,0.04699707,0.003361702,0.00321269,0.080394745,0.089740753,0.001698732,0.001680851,0.078964233,0.091552734,-24.57687759,-24.41396713,106.122612,104.8922424,90.90926361,90.37721252,89.33686066
6/1/2019 8:00,0.037811279,0.003302097,0.003272295,0.083351135,0.112819672,0.001722574,0.001704693,0.123596191,0.109767914,-25.10204315,-24.30000305,105.9260406,104.7241364,90.7842865,90.00682831,88.86763
6/1/2019 9:00,0.025543213,0.003635883,0.003671646,0.121593475,0.103569031,0.001752377,0.001722574,0.095081329,0.086212158,-25.12693405,-24.25718307,106.8749237,105.512146,91.67075348,90.86522675,89.34121704
6/1/2019 10:00,0.048370361,0.003021955,0.002890825,0.111293793,0.09727478,0.001639128,0.001603365,0.107192993,0.071430206,-25.11563301,-24.10519028,103.4732742,102.3520813,88.07939148,87.4522934,86.34687042
6/1/2019 11:00,0.040283203,0.00308156,0.003123283,0.098991394,0.069141388,0.001680851,0.00154376,0.063610077,0.072669983,-24.93739128,-24.27046204,106.1276932,104.6594849,90.76644897,90.09583282,89.55953979
6/1/2019 12:00,0.045318604,0.003361702,0.003427267,0.102615356,0.110149384,0.002074242,0.001811981,0.096225739,0.109386444,-24.91483688,-24.44593811,105.5677414,104.4290466,90.347435,89.67680359,88.92176819
6/1/2019 13:00,0.037750244,0.003343821,0.003302097,0.118350983,0.077724457,0.001716614,0.001853704,0.081825256,0.078392029,-24.97122192,-24.45282936,104.088623,102.7014465,88.6284256,88.05677795,86.81732178
6/1/2019 14:00,0.037414551,0.003117323,0.003021955,0.104236603,0.113487244,0.002330542,0.002473593,0.080013275,0.079345703,-25.16489029,-24.38428497,106.1018295,104.6126556,90.66638184,89.91717529,89.03396606
6/1/2019 15:00,0.043945313,0.003188848,0.003290176,0.116920471,0.072193146,0.001865625,0.001955032,0.078868866,0.059986115,-24.949646,-24.26850891,106.5417633,105.3518295,91.25946808,90.70714569,89.97691345
6/1/2019 16:00,0.048492432,0.003147125,0.003236532,0.064754486,0.102138519,0.00231266,0.002020597,0.070953369,0.08430481,-25.00255203,-24.31628799,105.9051208,104.8598633,90.688797,90.30019379,88.99424744
6/1/2019 17:00,0.046539307,0.003218651,0.003254414,0.078296661,0.084495544,0.002616644,0.002658367,0.079059601,0.067520142,-24.65694046,-24.47314262,105.5663681,104.2838058,90.27210236,89.56134796,88.68766785
6/1/2019 18:00,0.035064697,0.003379583,0.00333786,0.128555298,0.105381012,0.001901388,0.001716614,0.090408325,0.071716309,-24.92752075,-24.45411682,106.4875336,105.2797928,91.05680847,90.48768616,89.54805756
6/1/2019 19:00,0.052246094,0.003135204,0.00308156,0.090503693,0.113868713,0.001579523,0.001806021,0.130271912,0.07610321,-25.16798973,-24.34108353,106.7243347,105.4514618,91.44413757,90.79309845,89.97502136
6/1/2019 20:00,0.046936035,0.003314018,0.003314018,0.082492828,0.234413147,0.002324581,0.00217557,0.091934204,0.08058548,-25.11634827,-24.29769135,105.3207169,103.8085861,89.80160522,89.24462891,88.28408813
6/1/2019 21:00,0.041137695,0.003319979,0.003176928,0.131607056,0.100135803,0.001728535,0.001579523,0.064849854,0.081539154,-25.05018616,-24.1850853,106.2601318,104.9042358,91.04824829,90.47554779,89.24117279
6/1/2019 22:00,0.0390625,0.003165007,0.003451109,0.240516663,0.131320953,0.001651049,0.001490116,0.09021759,0.067710876,-25.04086494,-24.29587936,107.1635361,105.6103973,91.88900757,91.07566833,90.23899841
6/1/2019 23:00,0.035949707,0.003385544,0.003373623,0.075435638,0.077056885,0.002062321,0.002020597,0.09393692,0.068569183,-25.05276108,-24.43568802,106.1845932,104.9059448,90.82397461,90.31090546,89.21585846
6/2/2019 0:00,0.035461426,0.003308058,0.003218651,0.134181976,0.105571747,0.001871586,0.001823902,0.117778778,0.06608963,-25.36506653,-24.15773773,106.3938599,105.0577393,91.03596497,90.62701416,89.27852631
6/2/2019 1:00,0.029876709,0.003242493,0.003427267,0.119495392,0.1121521,0.001621246,0.001615286,0.071144104,0.0831604,-25.05474091,-24.1812706,106.8610153,105.5207977,91.65652466,90.86890411,90.0595932
6/2/2019 2:00,0.04699707,0.003165007,0.003117323,0.077056885,0.069713593,0.001645088,0.001734495,0.074195862,0.067138672,-24.99108315,-24.45120811,106.7554474,105.4959793,91.47595215,91.03412628,90.08033752
6/2/2019 3:00,0.037902832,0.003403425,0.003385544,0.113487244,0.086784363,0.00193119,0.00180006,0.089073181,0.086402893,-25.0530014,-24.41949844,106.7018738,105.5552902,91.42169189,90.76104736,90.03610992
6/2/2019 4:00,0.033660889,0.003224611,0.003385544,0.096416473,0.110816956,0.001651049,0.001567602,0.118541718,0.100040436,-25.12257004,-24.32286835,106.9890671,105.5081406,91.63850403,90.76237488,90.07553101
6/2/2019 5:00,0.040313721,0.003498793,0.003349781,0.07390976,0.076007843,0.001567602,0.001561642,0.113677979,0.067329407,-25.06511307,-24.20458794,102.9415665,101.7478561,87.61503601,87.76143646,85.31121826
6/2/2019 6:00,0.044952393,0.003319979,0.003522635,0.295352936,0.126457214,0.00180006,0.001710653,0.085449219,0.076389313,-25.00944138,-24.24953079,102.2299728,100.8888779,86.82079315,85.87381744,85.29547882
